workload,rank,category,kernel,calls_per_token,total_ms_per_token,average_us,min_us,max_us,lds_block_bytes,vgpr_count,sgpr_count,scratch_bytes,workgroup_size,grid_size
fused_current_B1_L128,14,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul>)",128.0,0.264818,2.068890625,0.014,14.956,0,24,128,0,256,512
fused_current_B1_L128,15,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorB",129.0,0.2507466666666667,1.9437726098191215,0.016,17.37,0,16,128,0,256,512
fused_current_B1_L128,16,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at",64.0,0.21743733333333334,3.3974583333333337,2.564,16.43,0,32,128,0,128,256
fused_current_B1_L128,17,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<16, at::native::BUnaryFunctor<unsigned char, unsigned char, unsigned char, at::native::rshift_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() ",64.0,0.17948666666666668,2.8044791666666664,1.752,15.68,0,32,128,0,256,512
fused_current_B1_L128,18,K1,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",32.0,0.1703313333333333,5.322854166666667,3.92,17.29,1536,24,128,0,128,1024
fused_current_B1_L128,19,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt",65.0,0.14100666666666667,2.1693333333333333,1.73,13.17,0,32,128,0,256,256
fused_current_B1_L128,20,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<c10::Half, c10::Half, c10",65.0,0.12676466666666666,1.9502256410256409,0.492,5.284,0,24,128,0,256,512
fused_current_B1_L4096,1,rocBLAS_GEMM,Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM,161.0,30.882096,191.8142608695652,70.832,1908.44,26624,256,128,0,128,128256
fused_current_B1_L4096,2,K2_INT4,"void flashinfer::BatchDecodeWithPagedKVGQAKernel<(flashinfer::RotaryMode)0, false, 16ul, 8ul, 16ul, 2ul, __half, flashinfer::quant::__precision__s4, __half, int>(__half*, flashinfer::paged_kv_t<flashinfer::quant::__precision__s4, int>, __ha",32.0,8.001494666666668,250.04670833333336,247.858,257.936,8704,80,128,0,128,4096
fused_current_B1_L4096,3,rocBLAS_GEMM,Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LP,64.0,1.8297619999999999,28.59003125,19.052,39.878,6656,128,128,0,32,2048
fused_current_B1_L4096,4,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::",128.0,0.4732686666666666,3.6974114583333333,0.024,18.628,0,48,128,0,128,512
fused_current_B1_L4096,5,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::T",129.0,0.46256533333333333,3.585777777777778,1.762,7.882,0,16,128,0,128,1792
fused_current_B1_L4096,6,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#5}::operator()() const::{lambda(short)#1}>(at::T",128.0,0.4065433333333333,3.1761197916666664,0.15,10.274,0,16,128,0,128,1792
fused_current_B1_L4096,7,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFuncto",129.0,0.393298,3.048821705426356,0.526,15.756,0,24,128,0,128,3584
fused_current_B1_L4096,8,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}",128.0,0.37747200000000003,2.949,0.608,15.816,0,24,128,0,128,1792
fused_current_B1_L4096,9,PyTorch_elementwise_copy_reduce,"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensor",64.0,0.30309933333333333,4.735927083333333,2.934,17.634,0,16,128,0,256,512
fused_current_B1_L4096,10,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul>)",128.0,0.29032933333333333,2.2681979166666664,1.184,17.732,0,24,128,0,256,512
fused_current_B1_L4096,11,PyTorch_elementwise_copy_reduce,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, floa",65.0,0.277304,4.266215384615384,0.854,17.136,512,32,128,0,512,512
fused_current_B1_L4096,12,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<16, at::native::AUnaryFunctor<unsigned char, unsigned char, unsigned char, at::native::BitwiseAndFunctor<unsigned char> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<unsigned char,",128.0,0.27165,2.122265625,0.388,17.446,0,32,128,0,256,512
fused_current_B1_L4096,13,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#",131.0,0.2570926666666667,1.9625394402035625,0.87,14.998,0,16,128,0,256,1792
fused_current_B1_L4096,14,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorB",129.0,0.24541666666666664,1.902454780361757,1.322,15.022,0,16,128,0,256,512
fused_current_B1_L4096,15,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctorOnSelf_add<short>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<short>, std::array<char*, 2ul>)",128.0,0.23879466666666668,1.8655833333333331,0.214,13.592,0,16,128,0,256,1024
fused_current_B1_L4096,16,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at",64.0,0.23659,3.69671875,2.576,16.034,0,32,128,0,128,256
fused_current_B1_L4096,17,K1,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",32.0,0.16515333333333335,5.161041666666667,3.974,17.754,1536,24,128,0,128,1024
fused_current_B1_L4096,18,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt",65.0,0.14993666666666666,2.3067179487179486,1.632,14.892,0,32,128,0,256,256
fused_current_B1_L4096,19,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",65.0,0.14016133333333333,2.1563282051282053,0.076,17.742,0,16,128,0,256,256
fused_current_B1_L4096,20,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<c10::Half, c10::Half, c10",65.0,0.13607466666666665,2.0934564102564104,0.152,16.068,0,24,128,0,256,512
fused_current_B4_L1024,1,rocBLAS_GEMM,Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM,161.0,31.299148,194.40464596273293,72.232,1873.65,26624,256,128,0,128,128256
fused_current_B4_L1024,2,K2_INT4,"void flashinfer::BatchDecodeWithPagedKVGQAKernel<(flashinfer::RotaryMode)0, false, 16ul, 8ul, 16ul, 2ul, __half, flashinfer::quant::__precision__s4, __half, int>(__half*, flashinfer::paged_kv_t<flashinfer::quant::__precision__s4, int>, __ha",32.0,2.2789786666666667,71.21808333333333,68.676,85.332,8704,80,128,0,128,16384
fused_current_B4_L1024,3,rocBLAS_GEMM,Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LP,64.0,1.9995093333333334,31.24233333333333,21.854,43.42,6656,128,128,0,32,2048
fused_current_B4_L1024,4,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::",193.0,0.9277706666666666,4.8071018998272885,0.588,16.522,0,48,128,0,128,2048
fused_current_B4_L1024,5,PyTorch_elementwise_copy_reduce,"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensor",64.0,0.7183826666666667,11.224729166666666,3.856,18.938,0,16,128,0,256,2048
fused_current_B4_L1024,6,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}",128.0,0.5212066666666667,4.071927083333334,0.108,16.522,0,24,128,0,128,7168
fused_current_B4_L1024,7,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::T",129.0,0.46331000000000006,3.5915503875968993,2.162,8.99,0,16,128,0,128,7168
fused_current_B4_L1024,8,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#",131.0,0.4429813333333333,3.3815368956743006,0.086,15.432,0,16,128,0,256,7168
fused_current_B4_L1024,9,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFuncto",129.0,0.42198,3.271162790697675,2.718,15.828,0,24,128,0,128,14336
fused_current_B4_L1024,10,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#5}::operator()() const::{lambda(short)#1}>(at::T",128.0,0.413572,3.23103125,0.528,15.786,0,16,128,0,128,7168
fused_current_B4_L1024,11,PyTorch_elementwise_copy_reduce,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, floa",65.0,0.367448,5.653046153846154,0.844,17.926,512,32,128,0,512,512
fused_current_B4_L1024,12,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul>)",128.0,0.3173266666666667,2.4791145833333337,0.434,15.088,0,24,128,0,256,2048
fused_current_B4_L1024,13,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctorOnSelf_add<short>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<short>, std::array<char*, 2ul>)",128.0,0.2686013333333333,2.0984479166666663,0.508,18.386,0,16,128,0,256,3584
fused_current_B4_L1024,14,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorB",129.0,0.2552413333333333,1.9786149870801035,0.202,14.892,0,16,128,0,256,2048
fused_current_B4_L1024,15,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<16, at::native::AUnaryFunctor<unsigned char, unsigned char, unsigned char, at::native::BitwiseAndFunctor<unsigned char> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<unsigned char,",128.0,0.24224133333333334,1.8925104166666666,0.184,15.0,0,32,128,0,256,1792
fused_current_B4_L1024,16,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at",64.0,0.22393,3.49890625,2.826,16.608,0,32,128,0,128,1024
fused_current_B4_L1024,17,K1,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",32.0,0.173172,5.411625,4.036,17.178,1536,24,128,0,128,4096
fused_current_B4_L1024,18,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt",65.0,0.157876,2.428861538461539,1.142,15.098,0,32,128,0,256,256
fused_current_B4_L1024,19,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",65.0,0.14485800000000001,2.2285846153846154,0.984,15.24,0,16,128,0,256,256
fused_current_B4_L1024,20,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namesp",65.0,0.126826,1.9511692307692308,1.096,14.94,0,16,128,0,256,4096
fused_hadacore256_B1_L128,1,rocBLAS_GEMM,Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM,161.0,30.746319333333332,190.97092753623187,71.766,1874.688,26624,256,128,0,128,128256
fused_hadacore256_B1_L128,2,rocBLAS_GEMM,Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LP,64.0,1.8186246666666666,28.41601041666667,21.6,38.846,6656,128,128,0,32,2048
fused_hadacore256_B1_L128,3,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}",128.0,0.5696173333333333,4.450135416666667,0.122,15.568,0,24,128,0,128,1792
fused_hadacore256_B1_L128,4,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::T",129.0,0.5490213333333334,4.255979328165375,0.166,16.634,0,16,128,0,128,1792
fused_hadacore256_B1_L128,5,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFuncto",129.0,0.5280586666666667,4.093478036175711,0.014,21.652,0,24,128,0,128,3584
fused_hadacore256_B1_L128,6,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#5}::operator()() const::{lambda(short)#1}>(at::T",128.0,0.525292,4.10384375,0.254,17.402,0,16,128,0,128,1792
fused_hadacore256_B1_L128,7,K2_INT4,"void flashinfer::BatchDecodeWithPagedKVGQAKernel<(flashinfer::RotaryMode)0, false, 16ul, 8ul, 16ul, 2ul, __half, flashinfer::quant::__precision__s4, __half, int>(__half*, flashinfer::paged_kv_t<flashinfer::quant::__precision__s4, int>, __ha",32.0,0.47591466666666665,14.872333333333334,8.978,82.052,8704,80,128,0,128,4096
fused_hadacore256_B1_L128,8,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::",128.0,0.46323000000000003,3.618984375,0.794,16.346,0,48,128,0,128,512
fused_hadacore256_B1_L128,9,PyTorch_elementwise_copy_reduce,"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensor",64.0,0.336682,5.26065625,2.976,17.976,0,16,128,0,256,512
fused_hadacore256_B1_L128,10,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctorOnSelf_add<short>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<short>, std::array<char*, 2ul>)",128.0,0.32613533333333333,2.5479322916666667,1.136,18.676,0,16,128,0,256,1024
